reporting_week,reporting_date,product_pillar,product_group,gross_revenue_actual,net_revenue_actual,gross_revenue_budget,net_revenue_budget,gross_revenue_2_10_forecast,net_revenue_2_10_forecast
2025-10-27,2025-10-30,Money Management,issuing,619834.9313,263991.4862,,,,
2024-06-17,2024-06-23,Money Management,issuing,300128.668,152569.1371,,,,
2023-01-09,2023-01-15,Money Management,issuing,170535.4379,63351.84396,,,,
2024-04-15,2024-04-15,Money Management,issuing,280790.6102,153436.9668,,,,
2025-02-10,2025-02-14,Money Management,issuing,588751.4296,309548.5743,,,,
2026-06-08,2026-06-10,Money Management,issuing,,,653395.9549,294717.2566,651383.9702,302073.3533
2026-03-09,2026-03-11,Money Management,issuing,734927.1063,346176.9483,628266.665,280423.8719,624304.2556,290569.0958
2026-08-17,2026-08-20,Money Management,issuing,,,685882.122,313695.1482,683780.6973,320014.2579
2026-02-09,2026-02-13,Money Management,issuing,752545.7915,353315.556,674723.2589,306095.5779,,
2025-09-01,2025-09-01,Money Management,issuing,411079.5667,177915.0714,,,,
2024-10-28,2024-11-01,Money Management,issuing,486886.4931,254097.3727,,,,
2024-01-29,2024-01-29,Money Management,issuing,262269.2802,150241.825,,,,
2024-01-08,2024-01-10,Money Management,issuing,367988.2159,210803.2672,,,,
2024-03-25,2024-03-31,Money Management,issuing,270991.6581,136796.1368,,,,
2024-03-25,2024-03-29,Money Management,issuing,428633.3542,216373.4019,,,,
2025-06-02,2025-06-08,Money Management,issuing,415635.4062,171585.7651,,,,
2024-05-06,2024-05-09,Money Management,issuing,452981.9704,216093.8819,,,,
2024-05-06,2024-05-06,Money Management,issuing,289970.934,138329.887,,,,
2023-09-25,2023-09-29,Money Management,issuing,338992.4575,119923.3919,,,,
2023-07-03,2023-07-08,Money Management,issuing,339798.3269,208187.2208,,,,
2023-02-20,2023-02-22,Money Management,issuing,290129.7005,105448.8636,,,,
2024-12-30,2024-12-31,Money Management,issuing,398426.4026,180297.459,,,,
2025-10-20,2025-10-25,Money Management,issuing,668911.9697,284893.6968,,,,
2025-09-29,2025-10-03,Money Management,issuing,754579.0573,321379.8331,,,,
2026-03-23,2026-03-26,Money Management,issuing,756391.6805,356287.5303,543205.3722,242457.1638,539779.4351,251228.8215
2026-07-06,2026-07-12,Money Management,issuing,,,671183.6583,304964.7702,665068.5254,310362.1473
