reporting_week,reporting_date,product_pillar,product_grouping,daily_actual_gross_revenue,estimated_fy25_2_10_forecast_gross_revenue,estimated_fy25_5_7_forecast_gross_revenue,estimated_fy25_8_4_forecast_gross_revenue,estimated_fy25_budget_gross_revenue,estimated_fy26_budget_gross_revenue
11/30/26,12/3/26,Money Management,Multicurrency Settlement,null,0,0,0,0,536299.8327
9/27/21,9/27/21,Money Management,Instant Payouts,156419.0829,0,0,0,0,null
2/20/23,2/25/23,Money Management,Instant Payouts,180559.6241,0,0,0,0,null
12/22/25,12/27/25,Money Management,Capital,112513.65,0,0,0,0,128693.8035
10/17/22,10/23/22,Money Management,Instant Payouts,171281.5421,0,0,0,0,null
7/24/23,7/29/23,Money Management,Multicurrency Settlement,-718.528011,0,0,0,0,null
7/18/22,7/21/22,Money Management,Capital,130949.5273,0,0,0,0,null
2/27/23,2/27/23,Money Management,Connect,688619.6254,0,0,0,0,null
4/6/26,4/8/26,Money Management,Instant Payouts,null,0,0,0,0,414531.9102
4/5/21,4/7/21,Money Management,Connect,335281.9,0,0,0,0,null
11/11/24,11/15/24,Money Management,Instant Payouts,201960.6155,0,0,0,0,null
10/23/23,10/26/23,Money Management,Capital,235892.837,0,0,0,0,null
12/21/26,12/21/26,Money Management,Instant Payouts,null,0,0,0,0,594567.6288
7/26/21,7/27/21,Money Management,Capital,96628.83,0,0,0,0,null
8/8/22,8/14/22,Money Management,Capital,45739.96883,0,0,0,0,null
9/8/25,9/10/25,Money Management,Capital,264470.8,0,0,0,0,332765.4614
12/16/24,12/16/24,Money Management,Capital,320731.92,0,0,0,0,null
3/14/22,3/16/22,Money Management,Connect,630482.9939,0,0,0,0,null
2/6/23,2/7/23,Money Management,Connect,839882.9719,0,0,0,0,null
3/30/26,4/2/26,Money Management,Multicurrency Settlement,null,0,0,0,0,438472.496
6/20/22,6/23/22,Money Management,Multicurrency Settlement,58365.95971,0,0,0,0,null
10/18/21,10/21/21,Money Management,Instant Payouts,148613.6868,0,0,0,0,null
8/29/22,8/29/22,Money Management,Connect,551431.9876,0,0,0,0,null
1/17/22,1/21/22,Money Management,Instant Payouts,183000.489,0,0,0,0,null
7/5/21,7/5/21,Money Management,Instant Payouts,120684.3426,0,0,0,0,null
8/8/22,8/8/22,Money Management,Instant Payouts,210717.1567,0,0,0,0,null
9/25/23,9/29/23,Money Management,Instant Payouts,116694.5547,0,0,0,0,null
2/21/22,2/24/22,Money Management,Capital,71226.51854,0,0,0,0,null
3/23/26,3/24/26,Money Management,Instant Payouts,null,0,0,0,0,406113.8496
3/31/25,3/31/25,Money Management,Instant Payouts,245072.3299,0,0,0,0,426947.3262
4/10/23,4/15/23,Money Management,Connect,5296.114855,0,0,0,0,null
8/24/26,8/25/26,Money Management,Multicurrency Settlement,null,0,0,0,0,319682.9601
2/23/26,2/28/26,Money Management,Connect,1784675.106,0,0,0,0,1088306.554
5/11/26,5/14/26,Money Management,Connect,null,0,0,0,0,1285697.997
7/3/23,7/8/23,Money Management,Multicurrency Settlement,-304.6921223,0,0,0,0,null
2/21/22,2/23/22,Money Management,Capital,74861.67887,0,0,0,0,null
6/22/26,6/27/26,Money Management,Multicurrency Settlement,null,0,0,0,0,0
9/25/23,9/25/23,Money Management,Capital,205397.2791,0,0,0,0,null
7/29/24,7/29/24,Money Management,Connect,23566.53436,0,0,0,0,null
10/11/21,10/17/21,Money Management,Capital,12935.39,0,0,0,0,null
9/1/25,9/3/25,Money Management,Capital,304665.06,0,0,0,0,358912.9418
8/31/26,9/5/26,Money Management,Connect,null,0,0,0,0,208262.1045
5/2/22,5/7/22,Money Management,Capital,30867.14732,0,0,0,0,null
9/8/25,9/8/25,Money Management,Instant Payouts,403471.6554,0,0,0,0,482123.0894
12/2/24,12/5/24,Money Management,Capital,687304.98,0,0,0,0,null
12/14/20,12/15/20,Money Management,Instant Payouts,-10387.73,0,0,0,0,null
9/13/21,9/18/21,Money Management,Instant Payouts,142300.7761,0,0,0,0,null
5/24/21,5/29/21,Money Management,Instant Payouts,120950.478,0,0,0,0,null
10/24/22,10/24/22,Money Management,Capital,150443.511,0,0,0,0,null
12/8/25,12/10/25,Money Management,Connect,1652080.011,0,0,0,0,1389654.628
11/16/26,11/19/26,Money Management,Multicurrency Settlement,null,0,0,0,0,426944.1191
9/28/26,9/29/26,Money Management,Multicurrency Settlement,null,0,0,0,0,342665.7307
1/20/25,1/24/25,Money Management,Connect,156060.4453,0,0,0,0,695327.2284
4/7/25,4/11/25,Money Management,Multicurrency Settlement,155131.8978,0,0,0,0,193717.5803
8/3/26,8/3/26,Money Management,Multicurrency Settlement,null,0,0,0,0,748966.5362
12/9/24,12/15/24,Money Management,Instant Payouts,99697.95947,0,0,0,0,null
2/21/22,2/23/22,Money Management,Connect,804528.5526,0,0,0,0,null
2/7/22,2/10/22,Money Management,Connect,448945.0266,0,0,0,0,null
11/17/25,11/17/25,Money Management,Multicurrency Settlement,585876.8596,0,0,0,0,574031.2967
10/5/26,10/8/26,Money Management,Multicurrency Settlement,null,0,0,0,0,422885.2564
1/19/26,1/21/26,Money Management,Connect,2995443.931,0,0,0,0,1541416.663
2/21/22,2/22/22,Money Management,Instant Payouts,160281.3696,0,0,0,0,null
7/4/22,7/8/22,Money Management,Capital,240748.2494,0,0,0,0,null
6/29/26,7/5/26,Money Management,Connect,null,0,0,0,0,1255889.795
1/27/25,1/28/25,Money Management,Connect,72607.26861,0,0,0,0,1637838.668
9/14/26,9/14/26,Money Management,Connect,null,0,0,0,0,1733728.486
9/27/21,9/27/21,Money Management,Capital,53145,0,0,0,0,null
3/27/23,3/27/23,Money Management,Connect,621709.586,0,0,0,0,null
8/4/25,8/10/25,Money Management,Instant Payouts,312567.9038,0,0,0,0,307365.5782
8/1/22,8/7/22,Money Management,Instant Payouts,171640.4181,0,0,0,0,null
