reporting_week,reporting_date,product_pillar,product_grouping,daily_actual_gross_revenue,estimated_fy25_2_10_forecast_gross_revenue,estimated_fy25_5_7_forecast_gross_revenue,estimated_fy25_8_4_forecast_gross_revenue,estimated_fy25_budget_gross_revenue,estimated_fy26_budget_gross_revenue
12/6/21,12/6/21,Money Management,Connect,605433.8458,0,0,0,0,null
9/8/25,9/11/25,Money Management,Connect,1205486.674,0,0,0,0,1170203.57
6/16/25,6/21/25,Money Management,Capital,101513,0,0,0,0,109025.5448
3/3/25,3/5/25,Money Management,Instant Payouts,173852.026,0,0,0,0,390030.0465
6/5/23,6/8/23,Money Management,Connect,5637.282359,0,0,0,0,null
5/30/22,6/1/22,Money Management,Connect,-623323.6151,0,0,0,0,null
9/29/25,9/30/25,Money Management,Instant Payouts,508640.126,0,0,0,0,479147.2072
9/29/25,10/1/25,Money Management,Multicurrency Settlement,488555.4005,0,0,0,0,436049.6925
3/20/23,3/26/23,Money Management,Capital,86692.14416,0,0,0,0,null
4/22/24,4/24/24,Money Management,Connect,29701.77565,0,0,0,0,null
4/5/21,4/6/21,Money Management,Connect,666225.6042,0,0,0,0,null
11/2/26,11/6/26,Money Management,Capital,null,0,0,0,0,352987.1613
9/1/25,9/4/25,Money Management,Multicurrency Settlement,443735.7307,0,0,0,0,409510.5249
9/2/24,9/8/24,Money Management,Multicurrency Settlement,104799.0389,0,0,0,0,null
4/12/21,4/18/21,Money Management,Instant Payouts,118709.7072,0,0,0,0,null
3/9/26,3/10/26,Money Management,Capital,199345.62,0,0,0,0,365402.0747
6/16/25,6/17/25,Money Management,Capital,300467.61,0,0,0,0,292688.1152
3/10/25,3/13/25,Money Management,Connect,-80475.13442,0,0,0,0,980594.6893
12/26/22,1/1/23,Money Management,Instant Payouts,199941.833,0,0,0,0,null
6/2/25,6/5/25,Money Management,Multicurrency Settlement,356045.2761,0,0,0,0,373254.9378
7/12/21,7/16/21,Money Management,Capital,99718.6,0,0,0,0,null
5/15/23,5/20/23,Money Management,Instant Payouts,52559.54702,0,0,0,0,null
10/23/23,10/28/23,Money Management,Instant Payouts,65856.64447,0,0,0,0,null
1/24/22,1/26/22,Money Management,Capital,93079.159,0,0,0,0,null
10/17/22,10/19/22,Money Management,Capital,136645.6232,0,0,0,0,null
12/26/22,12/26/22,Money Management,Multicurrency Settlement,43.47768428,0,0,0,0,null
8/2/21,8/2/21,Money Management,Instant Payouts,157349.9137,0,0,0,0,null
7/8/24,7/14/24,Money Management,Capital,91287.58969,0,0,0,0,null
8/4/25,8/10/25,Money Management,Multicurrency Settlement,123243.6953,0,0,0,0,104023.3628
4/13/26,4/19/26,Money Management,Multicurrency Settlement,null,0,0,0,0,124666.1105
1/13/25,1/19/25,Money Management,Multicurrency Settlement,507.3232299,0,0,0,0,90997.1005
7/15/24,7/18/24,Money Management,Connect,27030.89717,0,0,0,0,null
5/9/22,5/9/22,Money Management,Connect,637905.122,0,0,0,0,null
3/14/22,3/15/22,Money Management,Capital,96092.24027,0,0,0,0,null
10/27/25,11/1/25,Money Management,Instant Payouts,447418.1353,0,0,0,0,396951.6927
10/3/22,10/9/22,Money Management,Instant Payouts,173307.4579,0,0,0,0,null
8/31/26,9/4/26,Money Management,Connect,null,0,0,0,0,1016650.653
5/29/23,5/29/23,Money Management,Multicurrency Settlement,205364.0184,0,0,0,0,null
4/3/23,4/5/23,Money Management,Connect,784689.7177,0,0,0,0,null
11/20/23,11/24/23,Money Management,Instant Payouts,92804.4666,0,0,0,0,null
5/11/26,5/12/26,Money Management,Connect,null,0,0,0,0,1598970.021
2/17/25,2/17/25,Money Management,Multicurrency Settlement,298293.1453,0,0,0,0,446806.0328
9/26/22,10/1/22,Money Management,Multicurrency Settlement,-11.11,0,0,0,0,null
8/5/24,8/11/24,Money Management,Capital,101646.6017,0,0,0,0,null
7/22/24,7/24/24,Money Management,Multicurrency Settlement,221381.4821,0,0,0,0,null
11/20/23,11/20/23,Money Management,Instant Payouts,110513.8195,0,0,0,0,null
2/5/24,2/8/24,Money Management,Instant Payouts,88580.21486,0,0,0,0,null
6/29/26,6/30/26,Money Management,Capital,null,0,0,0,0,817535.7839
7/25/22,7/29/22,Money Management,Multicurrency Settlement,57594.24722,0,0,0,0,null
8/31/26,8/31/26,Money Management,Instant Payouts,null,0,0,0,0,559326.5558
2/6/23,2/9/23,Money Management,Connect,572430.5825,0,0,0,0,null
3/29/21,4/1/21,Money Management,Connect,-515608.5362,0,0,0,0,null
12/2/24,12/7/24,Money Management,Connect,-17165.42909,0,0,0,0,null
9/8/25,9/11/25,Money Management,Instant Payouts,400000.7528,0,0,0,0,345417.5289
6/22/26,6/26/26,Money Management,Multicurrency Settlement,null,0,0,0,0,241714.9608
10/18/21,10/22/21,Money Management,Instant Payouts,162665.1105,0,0,0,0,null
5/27/24,5/28/24,Money Management,Multicurrency Settlement,-987205.1813,0,0,0,0,null
12/8/25,12/9/25,Money Management,Capital,328182.9161,0,0,0,0,345489.1881
11/15/21,11/17/21,Money Management,Capital,153757.77,0,0,0,0,null
5/5/25,5/10/25,Money Management,Instant Payouts,327523.5128,0,0,0,0,320277.2848
11/24/25,11/27/25,Money Management,Multicurrency Settlement,195912.8244,0,0,0,0,367573.4937
8/18/25,8/18/25,Money Management,Multicurrency Settlement,467306.2593,0,0,0,0,482271.8089
4/15/24,4/19/24,Money Management,Instant Payouts,121243.1036,0,0,0,0,null
12/19/22,12/21/22,Money Management,Connect,699861.8895,0,0,0,0,null
8/24/26,8/24/26,Money Management,Instant Payouts,null,0,0,0,0,557351.7894
10/9/23,10/12/23,Money Management,Connect,35208.74292,0,0,0,0,null
1/23/23,1/25/23,Money Management,Instant Payouts,184601.7723,0,0,0,0,null
7/24/23,7/25/23,Money Management,Connect,43728.52034,0,0,0,0,null
10/6/25,10/12/25,Money Management,Instant Payouts,313023.3242,0,0,0,0,317208.1238
6/23/25,6/28/25,Money Management,Capital,87508.76469,0,0,0,0,109025.5448
11/7/22,11/7/22,Money Management,Multicurrency Settlement,174984.8048,0,0,0,0,null
3/4/24,3/5/24,Money Management,Capital,216470.0078,0,0,0,0,null
8/14/23,8/14/23,Money Management,Instant Payouts,103562.7268,0,0,0,0,null
8/11/25,8/16/25,Money Management,Multicurrency Settlement,-0.0443733,0,0,0,0,0
3/25/24,3/30/24,Money Management,Connect,13663.59059,0,0,0,0,null
6/14/21,6/16/21,Money Management,Instant Payouts,117790.4137,0,0,0,0,null
10/14/24,10/18/24,Money Management,Multicurrency Settlement,151560.6586,0,0,0,0,null
7/29/19,7/31/19,Money Management,Capital,186721.32,0,0,0,0,null
1/19/26,1/21/26,Money Management,Capital,306957.7671,0,0,0,0,423933.7407
4/18/22,4/21/22,Money Management,Multicurrency Settlement,38942.41447,0,0,0,0,null
6/12/23,6/14/23,Money Management,Connect,41913.67277,0,0,0,0,null
9/11/23,9/13/23,Money Management,Connect,54659.01935,0,0,0,0,null
6/1/26,6/7/26,Money Management,Capital,null,0,0,0,0,131230.4529
4/1/24,4/7/24,Money Management,Multicurrency Settlement,138937.8105,0,0,0,0,null
12/11/23,12/11/23,Money Management,Multicurrency Settlement,367774.5796,0,0,0,0,null
8/19/24,8/23/24,Money Management,Multicurrency Settlement,127464.7679,0,0,0,0,null
6/26/23,6/28/23,Money Management,Connect,42661.31359,0,0,0,0,null
1/17/22,1/23/22,Money Management,Instant Payouts,167313.9148,0,0,0,0,null
11/25/24,11/28/24,Money Management,Multicurrency Settlement,256969.9845,0,0,0,0,null
6/2/25,6/5/25,Money Management,Connect,1168834.62,0,0,0,0,1501147.019
6/30/25,7/2/25,Money Management,Connect,1837097.788,0,0,0,0,1638645.261
12/23/24,12/26/24,Money Management,Capital,281523.16,0,0,0,0,null
4/22/24,4/27/24,Money Management,Capital,99068.43966,0,0,0,0,null
10/3/22,10/5/22,Money Management,Connect,746712.6558,0,0,0,0,null
2/6/23,2/10/23,Money Management,Capital,188949.5943,0,0,0,0,null
6/29/26,7/1/26,Money Management,Capital,null,0,0,0,0,264520.8028
11/7/22,11/10/22,Money Management,Instant Payouts,202597.0365,0,0,0,0,null
12/14/26,12/15/26,Money Management,Multicurrency Settlement,null,0,0,0,0,357483.5982
1/23/23,1/24/23,Money Management,Multicurrency Settlement,47673.30347,0,0,0,0,null
9/4/23,9/8/23,Money Management,Connect,-67118.63858,0,0,0,0,null
5/5/25,5/7/25,Money Management,Instant Payouts,390801.1385,0,0,0,0,387667.4384
11/13/23,11/13/23,Money Management,Capital,176014.1072,0,0,0,0,null
3/6/23,3/9/23,Money Management,Multicurrency Settlement,130482.2047,0,0,0,0,null
1/17/22,1/23/22,Money Management,Connect,422939.1877,0,0,0,0,null
9/22/25,9/24/25,Money Management,Multicurrency Settlement,322653.1438,0,0,0,0,351022.7992
6/22/26,6/24/26,Money Management,Connect,null,0,0,0,0,1457082.282
4/5/21,4/11/21,Money Management,Connect,446027.3766,0,0,0,0,null
8/12/24,8/13/24,Money Management,Connect,40459.82476,0,0,0,0,null
11/23/26,11/24/26,Money Management,Capital,null,0,0,0,0,407074.0506
9/7/26,9/11/26,Money Management,Connect,null,0,0,0,0,765232.5928
6/13/22,6/18/22,Money Management,Connect,24268.30933,0,0,0,0,null
5/15/23,5/21/23,Money Management,Multicurrency Settlement,87772.32827,0,0,0,0,null
2/6/23,2/12/23,Money Management,Capital,69754.87911,0,0,0,0,null
9/5/22,9/5/22,Money Management,Capital,49696.92479,0,0,0,0,null
9/19/22,9/19/22,Money Management,Multicurrency Settlement,121164.0487,0,0,0,0,null
6/17/24,6/21/24,Money Management,Multicurrency Settlement,112715.1537,0,0,0,0,null
12/9/24,12/12/24,Money Management,Connect,42312.34453,0,0,0,0,null
8/15/22,8/18/22,Money Management,Instant Payouts,189392.5638,0,0,0,0,null
4/22/24,4/26/24,Money Management,Instant Payouts,131992.1148,0,0,0,0,null
1/29/24,2/4/24,Money Management,Connect,17278.22887,0,0,0,0,null
7/3/23,7/7/23,Money Management,Instant Payouts,100464.1987,0,0,0,0,null
4/11/22,4/12/22,Money Management,Connect,719033.7929,0,0,0,0,null
12/30/24,1/3/25,Money Management,Capital,399070.21,0,0,0,0,234785.5372
3/25/24,3/27/24,Money Management,Instant Payouts,97324.23418,0,0,0,0,null
1/17/22,1/17/22,Money Management,Capital,20288.70503,0,0,0,0,null
10/4/21,10/4/21,Money Management,Connect,79391.83681,0,0,0,0,null
7/22/24,7/28/24,Money Management,Capital,107204.8886,0,0,0,0,null
9/29/25,9/29/25,Money Management,Multicurrency Settlement,508035.1955,0,0,0,0,539799.0415
11/18/24,11/20/24,Money Management,Multicurrency Settlement,265582.66,0,0,0,0,null
6/17/24,6/23/24,Money Management,Capital,84942.13707,0,0,0,0,null
12/2/24,12/3/24,Money Management,Instant Payouts,201550.8503,0,0,0,0,null
10/20/25,10/20/25,Money Management,Instant Payouts,456890.4238,0,0,0,0,474054.7575
4/7/25,4/8/25,Money Management,Capital,317960.63,0,0,0,0,267865.9584
2/10/25,2/14/25,Money Management,Multicurrency Settlement,150266.6945,0,0,0,0,187873.9999
9/30/24,10/2/24,Money Management,Instant Payouts,171749.7769,0,0,0,0,null
1/8/24,1/9/24,Money Management,Instant Payouts,87258.28418,0,0,0,0,null
7/20/26,7/20/26,Money Management,Instant Payouts,null,0,0,0,0,543174.602
3/1/21,3/7/21,Money Management,Connect,214214.6336,0,0,0,0,null
7/6/26,7/10/26,Money Management,Instant Payouts,null,0,0,0,0,578280.2773
5/5/25,5/10/25,Money Management,Multicurrency Settlement,0.340874575,0,0,0,0,0
10/17/22,10/18/22,Money Management,Connect,1094721.92,0,0,0,0,null
2/24/25,2/28/25,Money Management,Capital,300297.1268,0,0,0,0,531650.518
3/24/25,3/24/25,Money Management,Instant Payouts,189761.7813,0,0,0,0,425439.9398
1/19/26,1/23/26,Money Management,Capital,823942.1692,0,0,0,0,288345.8544
8/4/25,8/5/25,Money Management,Instant Payouts,397503.3908,0,0,0,0,427040.0963
2/14/22,2/17/22,Money Management,Instant Payouts,175124.1564,0,0,0,0,null
3/9/26,3/14/26,Money Management,Instant Payouts,342957.3983,0,0,0,0,370781.0498
9/7/26,9/9/26,Money Management,Instant Payouts,null,0,0,0,0,466833.3041
7/18/22,7/23/22,Money Management,Instant Payouts,175277.6057,0,0,0,0,null
9/30/24,9/30/24,Money Management,Multicurrency Settlement,442884.2595,0,0,0,0,null
6/30/25,7/5/25,Money Management,Instant Payouts,295913.1761,0,0,0,0,382582.9516
9/9/24,9/14/24,Money Management,Connect,19677.66797,0,0,0,0,null
8/4/25,8/8/25,Money Management,Instant Payouts,434575.2557,0,0,0,0,489033.2216
3/21/22,3/21/22,Money Management,Capital,91128.64027,0,0,0,0,null
12/6/21,12/9/21,Money Management,Capital,162317.3584,0,0,0,0,null
8/26/24,8/27/24,Money Management,Connect,21861.71195,0,0,0,0,null
3/4/24,3/4/24,Money Management,Multicurrency Settlement,373038.5519,0,0,0,0,null
2/5/24,2/7/24,Money Management,Instant Payouts,86998.76509,0,0,0,0,null
10/23/23,10/28/23,Money Management,Capital,63506.3128,0,0,0,0,null
1/12/26,1/17/26,Money Management,Instant Payouts,335188.673,0,0,0,0,363206.7698
9/29/25,9/29/25,Money Management,Instant Payouts,507231.6947,0,0,0,0,482123.0894
6/22/26,6/25/26,Money Management,Capital,null,0,0,0,0,573361.9615
9/27/21,10/1/21,Money Management,Capital,91636.1,0,0,0,0,null
7/25/22,7/28/22,Money Management,Connect,569808.9421,0,0,0,0,null
9/9/24,9/15/24,Money Management,Capital,86710.85638,0,0,0,0,null
12/1/25,12/7/25,Money Management,Capital,119538.14,0,0,0,0,122741.2864
11/17/25,11/22/25,Money Management,Instant Payouts,341106.8225,0,0,0,0,369614.2762
4/5/21,4/8/21,Money Management,Instant Payouts,114604.8283,0,0,0,0,null
2/7/22,2/8/22,Money Management,Capital,71040.25905,0,0,0,0,null
7/10/23,7/11/23,Money Management,Capital,266651.9919,0,0,0,0,null
3/31/25,4/4/25,Money Management,Connect,112238.8782,0,0,0,0,652474.9092
6/23/25,6/25/25,Money Management,Multicurrency Settlement,332318.8861,0,0,0,0,319945.3612
3/17/25,3/22/25,Money Management,Multicurrency Settlement,-2.538623339,0,0,0,0,0
6/26/23,7/1/23,Money Management,Instant Payouts,4980851.726,0,0,0,0,null
10/5/26,10/5/26,Money Management,Multicurrency Settlement,null,0,0,0,0,816435.1198
6/9/25,6/14/25,Money Management,Multicurrency Settlement,-42.57296879,0,0,0,0,0
3/25/19,3/31/19,Money Management,Connect,4164208.019,0,0,0,0,null
9/28/26,10/1/26,Money Management,Instant Payouts,null,0,0,0,0,458008.8523
9/23/24,9/23/24,Money Management,Capital,231025.915,0,0,0,0,null
12/5/22,12/11/22,Money Management,Connect,687093.8134,0,0,0,0,null
12/5/22,12/6/22,Money Management,Instant Payouts,177673.499,0,0,0,0,null
12/9/24,12/15/24,Money Management,Capital,109585.68,0,0,0,0,null
7/28/25,8/1/25,Money Management,Multicurrency Settlement,373588.6845,0,0,0,0,250695.9276
9/9/24,9/13/24,Money Management,Instant Payouts,174925.2819,0,0,0,0,null
4/22/24,4/22/24,Money Management,Instant Payouts,124946.3308,0,0,0,0,null
8/24/26,8/26/26,Money Management,Multicurrency Settlement,null,0,0,0,0,393965.217
10/9/23,10/10/23,Money Management,Multicurrency Settlement,351338.6829,0,0,0,0,null
3/30/26,4/2/26,Money Management,Capital,null,0,0,0,0,607330.5708
5/8/23,5/9/23,Money Management,Instant Payouts,79483.91752,0,0,0,0,null
6/17/24,6/22/24,Money Management,Connect,13965.28848,0,0,0,0,null
6/14/21,6/20/21,Money Management,Instant Payouts,119124.9502,0,0,0,0,null
10/25/21,10/30/21,Money Management,Connect,15541.78925,0,0,0,0,null
6/21/21,6/22/21,Money Management,Instant Payouts,107519.4313,0,0,0,0,null
5/12/25,5/14/25,Money Management,Instant Payouts,374139.4474,0,0,0,0,345929.0211
8/11/25,8/12/25,Money Management,Multicurrency Settlement,248587.8416,0,0,0,0,254481.7837
6/27/22,6/30/22,Money Management,Capital,-184482.3042,0,0,0,0,null
11/6/23,11/10/23,Money Management,Connect,36297.90867,0,0,0,0,null
4/12/21,4/15/21,Money Management,Connect,331852.3143,0,0,0,0,null
12/14/26,12/15/26,Money Management,Instant Payouts,null,0,0,0,0,493239.842
7/27/26,7/28/26,Money Management,Instant Payouts,null,0,0,0,0,450605.3509
8/26/24,8/31/24,Money Management,Instant Payouts,121773.2079,0,0,0,0,null
11/18/24,11/18/24,Money Management,Capital,312199.5,0,0,0,0,null
9/1/25,9/6/25,Money Management,Instant Payouts,346545.9805,0,0,0,0,392169.1908
9/28/26,9/28/26,Money Management,Instant Payouts,null,0,0,0,0,570655.9531
11/2/26,11/4/26,Money Management,Connect,null,0,0,0,0,2176007.593
7/29/24,8/3/24,Money Management,Connect,17648.95419,0,0,0,0,null
6/1/26,6/2/26,Money Management,Capital,null,0,0,0,0,415731.2755
11/20/23,11/21/23,Money Management,Connect,14525.12274,0,0,0,0,null
7/13/20,7/18/20,Money Management,Instant Payouts,506000,0,0,0,0,null
1/5/26,1/5/26,Money Management,Connect,2040935.968,0,0,0,0,2298658.391
12/19/22,12/21/22,Money Management,Capital,156591.8113,0,0,0,0,null
10/16/23,10/21/23,Money Management,Multicurrency Settlement,0.009338526,0,0,0,0,null
12/14/26,12/16/26,Money Management,Connect,null,0,0,0,0,1546164.372
10/13/25,10/17/25,Money Management,Capital,462609.2049,0,0,0,0,215013.8716
7/3/23,7/5/23,Money Management,Multicurrency Settlement,293353.2548,0,0,0,0,null
5/27/24,5/29/24,Money Management,Instant Payouts,123299.747,0,0,0,0,null
10/16/23,10/20/23,Money Management,Capital,175026.8078,0,0,0,0,null
12/2/24,12/4/24,Money Management,Connect,92766.11638,0,0,0,0,null
12/5/22,12/8/22,Money Management,Capital,207826.4108,0,0,0,0,null
10/14/24,10/15/24,Money Management,Capital,311211.6481,0,0,0,0,null
10/2/23,10/3/23,Money Management,Multicurrency Settlement,255127.3774,0,0,0,0,null
8/25/25,8/31/25,Money Management,Instant Payouts,420778.0596,0,0,0,0,473475.3898
11/16/26,11/18/26,Money Management,Multicurrency Settlement,null,0,0,0,0,433576.4004
6/9/25,6/10/25,Money Management,Multicurrency Settlement,282004.047,0,0,0,0,259619.5698
7/7/25,7/9/25,Money Management,Capital,280147.79,0,0,0,0,294395.9546
8/31/26,9/3/26,Money Management,Multicurrency Settlement,null,0,0,0,0,492650.3645
5/20/24,5/25/24,Money Management,Connect,86.77284579,0,0,0,0,null
9/27/21,9/29/21,Money Management,Connect,455608.4109,0,0,0,0,null
3/23/26,3/23/26,Money Management,Capital,null,0,0,0,0,351676.3486
9/22/25,9/25/25,Money Management,Capital,457341.41,0,0,0,0,418780.4607
5/25/26,5/31/26,Money Management,Connect,null,0,0,0,0,1203646.211
8/11/25,8/11/25,Money Management,Connect,1262485.538,0,0,0,0,1282537.835
11/10/25,11/13/25,Money Management,Multicurrency Settlement,398560.4661,0,0,0,0,367573.4937
10/20/25,10/25/25,Money Management,Multicurrency Settlement,307.9428076,0,0,0,0,0
4/22/24,4/27/24,Money Management,Multicurrency Settlement,-2.033963881,0,0,0,0,null
10/11/21,10/11/21,Money Management,Connect,563788.5565,0,0,0,0,null
8/14/23,8/14/23,Money Management,Multicurrency Settlement,275432.8871,0,0,0,0,null
8/31/26,9/2/26,Money Management,Connect,null,0,0,0,0,2141246.544
8/25/25,8/29/25,Money Management,Capital,199044.27,0,0,0,0,185829.1099
8/12/24,8/18/24,Money Management,Instant Payouts,80050.90836,0,0,0,0,null
7/31/23,8/3/23,Money Management,Multicurrency Settlement,260624.9985,0,0,0,0,null
4/18/22,4/20/22,Money Management,Multicurrency Settlement,25715.06101,0,0,0,0,null
11/28/22,11/28/22,Money Management,Connect,811367.4865,0,0,0,0,null
9/13/21,9/14/21,Money Management,Connect,585332.5992,0,0,0,0,null
4/11/22,4/15/22,Money Management,Connect,52863.76689,0,0,0,0,null
11/14/22,11/17/22,Money Management,Instant Payouts,193527.3958,0,0,0,0,null
11/28/22,12/1/22,Money Management,Connect,-572787.9534,0,0,0,0,null
8/1/22,8/4/22,Money Management,Instant Payouts,191621.9992,0,0,0,0,null
12/25/23,12/26/23,Money Management,Capital,206797.8623,0,0,0,0,null
11/8/21,11/13/21,Money Management,Connect,16020.0107,0,0,0,0,null
11/6/23,11/10/23,Money Management,Instant Payouts,106647.6073,0,0,0,0,null
4/20/26,4/26/26,Money Management,Capital,null,0,0,0,0,119489.3346
6/19/23,6/19/23,Money Management,Multicurrency Settlement,253183.1704,0,0,0,0,null
7/4/22,7/10/22,Money Management,Connect,474613.9758,0,0,0,0,null
11/7/22,11/11/22,Money Management,Capital,77052.14848,0,0,0,0,null
3/10/25,3/12/25,Money Management,Instant Payouts,155219.9003,0,0,0,0,348037.2579
3/2/26,3/6/26,Money Management,Instant Payouts,479569.4086,0,0,0,0,584066.3171
9/28/26,10/4/26,Money Management,Instant Payouts,null,0,0,0,0,427763.0038
2/6/23,2/11/23,Money Management,Capital,80485.81186,0,0,0,0,null
7/11/22,7/15/22,Money Management,Multicurrency Settlement,82133.40519,0,0,0,0,null
8/8/22,8/13/22,Money Management,Capital,56087.45968,0,0,0,0,null
4/6/26,4/10/26,Money Management,Instant Payouts,null,0,0,0,0,539472.6272
12/14/26,12/17/26,Money Management,Instant Payouts,null,0,0,0,0,425978.5211
3/14/22,3/18/22,Money Management,Instant Payouts,185227.1137,0,0,0,0,null
9/27/21,10/2/21,Money Management,Connect,11378.23731,0,0,0,0,null
12/27/21,12/31/21,Money Management,Capital,-170989.9185,0,0,0,0,null
12/27/21,12/29/21,Money Management,Connect,593572.9662,0,0,0,0,null
10/23/23,10/24/23,Money Management,Multicurrency Settlement,222544.3331,0,0,0,0,null
10/16/23,10/19/23,Money Management,Capital,210027.4032,0,0,0,0,null
11/3/25,11/3/25,Money Management,Multicurrency Settlement,762092.4096,0,0,0,0,680079.8616
12/19/22,12/25/22,Money Management,Connect,25967.68986,0,0,0,0,null
3/6/23,3/9/23,Money Management,Capital,259443.6317,0,0,0,0,null
8/15/22,8/20/22,Money Management,Connect,25862.86829,0,0,0,0,null
2/24/20,2/29/20,Money Management,Capital,447128.17,0,0,0,0,null
8/4/25,8/8/25,Money Management,Connect,616504.8803,0,0,0,0,566086.1905
10/11/21,10/12/21,Money Management,Capital,62730.59,0,0,0,0,null
7/18/22,7/22/22,Money Management,Connect,187531.9734,0,0,0,0,null
10/14/24,10/19/24,Money Management,Instant Payouts,102397.3832,0,0,0,0,null
6/7/21,6/9/21,Money Management,Instant Payouts,113240.3692,0,0,0,0,null
9/30/24,10/1/24,Money Management,Instant Payouts,6487289.746,0,0,0,0,null
10/14/24,10/14/24,Money Management,Multicurrency Settlement,300724.9016,0,0,0,0,null
2/21/22,2/24/22,Money Management,Connect,861789.5778,0,0,0,0,null
10/23/23,10/25/23,Money Management,Capital,186253.017,0,0,0,0,null
11/3/25,11/8/25,Money Management,Connect,198756.2052,0,0,0,0,137277.276
11/30/26,12/4/26,Money Management,Multicurrency Settlement,null,0,0,0,0,352165.4125
10/5/26,10/9/26,Money Management,Multicurrency Settlement,null,0,0,0,0,277690.8586
11/27/23,12/1/23,Money Management,Capital,-122545.5666,0,0,0,0,null
1/13/25,1/13/25,Money Management,Connect,25103.53364,0,0,0,0,1575349.294
4/14/25,4/14/25,Money Management,Capital,251005.14,0,0,0,0,257804.0155
5/30/22,5/31/22,Money Management,Capital,-256049.8898,0,0,0,0,null
8/2/21,8/4/21,Money Management,Connect,384067.6026,0,0,0,0,null
9/21/26,9/25/26,Money Management,Multicurrency Settlement,null,0,0,0,0,273057.1195
4/12/21,4/18/21,Money Management,Connect,317699.4842,0,0,0,0,null
1/22/24,1/28/24,Money Management,Instant Payouts,63321.31453,0,0,0,0,null
3/21/22,3/26/22,Money Management,Capital,22358.17001,0,0,0,0,null
7/3/23,7/7/23,Money Management,Capital,254021.5751,0,0,0,0,null
6/16/25,6/17/25,Money Management,Multicurrency Settlement,254481.7696,0,0,0,0,259619.5698
7/22/24,7/23/24,Money Management,Multicurrency Settlement,172295.4222,0,0,0,0,null
10/17/22,10/22/22,Money Management,Multicurrency Settlement,-22.33658503,0,0,0,0,null
12/5/22,12/6/22,Money Management,Capital,132268.1087,0,0,0,0,null
2/24/25,3/2/25,Money Management,Connect,26450.81578,0,0,0,0,918785.9201
12/11/23,12/11/23,Money Management,Capital,226754.0142,0,0,0,0,null
7/7/25,7/7/25,Money Management,Connect,1528107.337,0,0,0,0,1762696.901
8/22/22,8/24/22,Money Management,Connect,711426.5581,0,0,0,0,null
6/19/23,6/24/23,Money Management,Instant Payouts,56715.27465,0,0,0,0,null
7/21/25,7/25/25,Money Management,Instant Payouts,424705.3796,0,0,0,0,479872.2
5/5/25,5/11/25,Money Management,Capital,714.77,0,0,0,0,79741.34289
6/13/22,6/15/22,Money Management,Instant Payouts,188859.8343,0,0,0,0,null
10/26/26,10/30/26,Money Management,Capital,null,0,0,0,0,306177.8796
3/7/22,3/13/22,Money Management,Instant Payouts,167810.2711,0,0,0,0,null
11/27/23,11/27/23,Money Management,Instant Payouts,130704.7453,0,0,0,0,null
12/26/22,12/27/22,Money Management,Connect,844976.4738,0,0,0,0,null
1/13/25,1/16/25,Money Management,Instant Payouts,152349.1588,0,0,0,0,297112.7561
11/23/26,11/27/26,Money Management,Connect,null,0,0,0,0,777655.4005
3/25/24,3/30/24,Money Management,Instant Payouts,79183.53712,0,0,0,0,null
2/20/23,2/21/23,Money Management,Capital,164883.9627,0,0,0,0,null
3/6/23,3/6/23,Money Management,Instant Payouts,244553.3602,0,0,0,0,null
11/22/21,11/24/21,Money Management,Instant Payouts,164596.7748,0,0,0,0,null
2/24/25,3/1/25,Money Management,Instant Payouts,6351276.963,0,0,0,0,361108.0788
7/28/25,8/1/25,Money Management,Instant Payouts,601529.2738,0,0,0,0,548038.0214
9/19/22,9/20/22,Money Management,Capital,183322.9479,0,0,0,0,null
1/28/19,1/31/19,Money Management,Instant Payouts,3017051.47,0,0,0,0,null
7/17/23,7/18/23,Money Management,Connect,18684.4822,0,0,0,0,null
6/20/22,6/25/22,Money Management,Capital,33794.65909,0,0,0,0,null
9/13/21,9/16/21,Money Management,Capital,84020.82,0,0,0,0,null
11/15/21,11/18/21,Money Management,Connect,429203.2128,0,0,0,0,null
3/31/25,4/4/25,Money Management,Capital,509590.79,0,0,0,0,232275.2927
11/10/25,11/14/25,Money Management,Capital,334153.4598,0,0,0,0,230241.7271
5/18/26,5/18/26,Money Management,Connect,null,0,0,0,0,1537963.623
7/29/24,8/4/24,Money Management,Instant Payouts,91995.66133,0,0,0,0,null
6/17/19,6/17/19,Money Management,Connect,-206.376753,0,0,0,0,null
12/14/26,12/18/26,Money Management,Instant Payouts,null,0,0,0,0,632994.8623
11/30/26,12/2/26,Money Management,Capital,null,0,0,0,0,565800.8958
4/11/22,4/17/22,Money Management,Instant Payouts,161463.0283,0,0,0,0,null
4/26/21,4/27/21,Money Management,Connect,482299.7832,0,0,0,0,null
1/30/23,2/3/23,Money Management,Instant Payouts,221475.0992,0,0,0,0,null
12/16/19,12/20/19,Money Management,Instant Payouts,-2296115.75,0,0,0,0,null
4/7/25,4/7/25,Money Management,Instant Payouts,215135.0848,0,0,0,0,463270.1356
10/21/24,10/26/24,Money Management,Connect,20168.43332,0,0,0,0,null
10/31/22,10/31/22,Money Management,Instant Payouts,210847.137,0,0,0,0,null
12/18/23,12/22/23,Money Management,Multicurrency Settlement,135771.8558,0,0,0,0,null
9/26/22,10/2/22,Money Management,Capital,55629.49515,0,0,0,0,null
6/12/23,6/16/23,Money Management,Connect,18586.24173,0,0,0,0,null
