reporting_week,reporting_date,product_pillar,product_grouping,[DROPPED] daily_actual_net_revenue,estimated_fy25_2_10_forecast,estimated_fy25_5_7_forecast,estimated_fy25_8_4_forecast,estimated_fy25_budget,estimated_fy26_budget,daily_actual_gross_revenue
5/2/22,5/8/22,Money Management,Other BaaS Products,,0,0,0,0,-8147.75,null
6/13/22,6/19/22,Money Management,Other BaaS Products,,0,0,0,0,-6544.41,null
12/6/21,12/11/21,Money Management,Other BaaS Products,,0,0,0,0,-9918.06,null
1/5/26,1/8/26,Money Management,Faster Payouts,,0,0,0,0,-299361.0682,0
9/29/25,9/30/25,Money Management,Bridge,,0,0,0,0,4481374.63,4573549.17
7/29/24,7/30/24,Money Management,Mass Payouts,,0,0,0,0,74,null
9/22/25,9/28/25,Money Management,Faster Payouts,,0,0,0,0,84571.52692,0
1/15/24,1/17/24,Money Management,Other BaaS Products,,0,0,0,0,-5676.75,null
7/19/21,7/21/21,Money Management,Other BaaS Products,,0,0,0,0,-8557.53,null
12/15/25,12/21/25,Money Management,Mass Payouts,,0,0,0,0,7848.817109,0
2/3/25,2/9/25,Money Management,Other BaaS Products,,0,0,0,0,-3041.38,0
10/14/24,10/17/24,Money Management,Mass Payouts,,0,0,0,0,97.75,null
7/28/25,7/29/25,Money Management,Mass Payouts,,0,0,0,0,2601.821417,0
7/19/21,7/24/21,Money Management,Other BaaS Products,,0,0,0,0,-8320.47,null
3/6/23,3/6/23,Money Management,Other BaaS Products,,0,0,0,0,-4329.69,null
11/28/22,11/28/22,Money Management,Other BaaS Products,,0,0,0,0,-9139.52,null
1/22/24,1/22/24,Money Management,Other BaaS Products,,0,0,0,0,-4581.28,null
2/24/25,2/24/25,Money Management,Mass Payouts,,0,0,0,0,399,0
6/9/25,6/15/25,Money Management,Mass Payouts,,0,0,0,0,508.0003359,0
1/31/22,2/5/22,Money Management,Other BaaS Products,,0,0,0,0,-15669.33,null
6/30/25,6/30/25,Money Management,Mass Payouts,,0,0,0,0,1971.858553,35769.15234
6/29/20,6/30/20,Money Management,Other BaaS Products,,0,0,0,0,37443.63041,null
9/12/22,9/13/22,Money Management,Other BaaS Products,,0,0,0,0,-10153.27,null
12/8/25,12/12/25,Money Management,Faster Payouts,,0,0,0,0,36315.15136,0
1/12/26,1/18/26,Money Management,Financial Accounts,,0,0,0,0,-6130.876577,0
10/30/23,11/2/23,Money Management,Other BaaS Products,,0,0,0,0,-20798.99,null
12/15/25,12/21/25,Money Management,Other BaaS Products,,0,0,0,0,-1734.37,0
5/12/25,5/18/25,Money Management,Other BaaS Products,,0,0,0,0,-2288.12,0
7/4/22,7/4/22,Money Management,Other BaaS Products,,0,0,0,0,-4998.92,null
5/19/25,5/23/25,Money Management,Mass Payouts,,0,0,0,0,2985.9216,0
6/16/25,6/22/25,Money Management,Mass Payouts,,0,0,0,0,344.5355569,0
12/22/25,12/24/25,Money Management,Other BaaS Products,,0,0,0,0,-2530.99,0
2/9/26,2/10/26,Money Management,Other BaaS Products,,0,0,0,0,-4050.24,0
2/5/24,2/8/24,Money Management,Other BaaS Products,,0,0,0,0,-10214.93,null
11/10/25,11/10/25,Money Management,Faster Payouts,,0,0,0,0,31438.02448,0
10/30/23,10/30/23,Money Management,Other BaaS Products,,0,0,0,0,-4707.08,null
3/24/25,3/29/25,Money Management,Financial Accounts,,0,0,0,0,4379.25,0
3/24/25,3/27/25,Money Management,Mass Payouts,,0,0,0,0,1002.4904,0
7/28/25,8/1/25,Money Management,Mass Payouts,,0,0,0,0,4350.463825,0
7/15/24,7/18/24,Money Management,Mass Payouts,,0,0,0,0,66,null
12/29/25,1/4/26,Money Management,Mass Payouts,,0,0,0,0,8436.46948,0
12/4/23,12/9/23,Money Management,Financial Accounts,,0,0,0,0,-28870.98,null
7/1/24,7/3/24,Money Management,Financial Accounts,,0,0,0,0,0,null
9/16/24,9/20/24,Money Management,Financial Accounts,,0,0,0,0,0,null
11/8/21,11/9/21,Money Management,Other BaaS Products,,0,0,0,0,-10878.94,null
1/24/22,1/24/22,Money Management,Other BaaS Products,,0,0,0,0,-6727.39,null
7/24/23,7/26/23,Money Management,Financial Accounts,,0,0,0,0,0,null
3/16/26,3/22/26,Money Management,Other BaaS Products,,0,0,0,0,null,0
12/22/25,12/23/25,Money Management,Financial Accounts,,0,0,0,0,-5186.825794,0
11/15/21,11/16/21,Money Management,Other BaaS Products,,0,0,0,0,-10319.11,null
10/9/23,10/15/23,Money Management,Other BaaS Products,,0,0,0,0,-4618.48,null
2/9/26,2/12/26,Money Management,Faster Payouts,,0,0,0,0,45054.31987,0
9/18/23,9/22/23,Money Management,Other BaaS Products,,0,0,0,0,-6399.94,null
6/2/25,6/4/25,Money Management,Mass Payouts,,0,0,0,0,1087.461997,0
5/19/25,5/21/25,Money Management,Faster Payouts,,0,0,0,0,15585.06295,0
7/18/22,7/22/22,Money Management,Financial Accounts,,0,0,0,0,0.25,null
7/21/25,7/25/25,Money Management,Faster Payouts,,0,0,0,0,23738.84469,0
7/21/25,7/21/25,Money Management,Financial Accounts,,0,0,0,0,-4824.842431,0
4/28/25,5/4/25,Money Management,Faster Payouts,,0,0,0,0,11196.16404,0
12/15/25,12/19/25,Money Management,Financial Accounts,,0,0,0,0,-4918.804775,0
2/10/25,2/16/25,Money Management,Other BaaS Products,,0,0,0,0,-3042.5,0
5/12/25,5/16/25,Money Management,Mass Payouts,,0,0,0,0,3.05,0
