reporting_week,reporting_date,product_pillar,product_grouping,[DROPPED] daily_actual_net_revenue,estimated_fy25_2_10_forecast,estimated_fy25_5_7_forecast,estimated_fy25_8_4_forecast,estimated_fy25_budget,estimated_fy26_budget,daily_actual_gross_revenue
9/16/24,9/16/24,Money Management,Other BaaS Products,,0,0,0,0,-4457.39,null
8/25/25,8/27/25,Money Management,Bridge,,0,0,0,0,0,0
5/26/25,5/28/25,Money Management,Bridge,,0,0,0,0,0,0
2/9/26,2/10/26,Money Management,Bridge,,0,0,0,0,0,0
9/28/26,9/30/26,Money Management,Financial Accounts,,0,0,0,0,null,1342875.01
8/10/26,8/15/26,Money Management,Faster Payouts,,0,0,0,0,null,0
10/5/26,10/11/26,Money Management,Money Management Stretch,,0,0,0,0,null,0
1/5/26,1/8/26,Money Management,Money Management Stretch,,0,0,0,0,0,0
5/11/26,5/13/26,Money Management,Money Management Stretch,,0,0,0,0,null,0
1/6/25,1/12/25,Money Management,Financial Accounts,,0,0,0,0,0,0
10/12/26,10/17/26,Money Management,Bridge,,0,0,0,0,null,0
12/21/26,12/21/26,Money Management,Financial Accounts,,0,0,0,0,null,0
7/27/26,7/29/26,Money Management,Financial Accounts,,0,0,0,0,null,0
11/9/26,11/10/26,Money Management,Financial Accounts,,0,0,0,0,null,0
10/19/26,10/23/26,Money Management,Other BaaS Products,,0,0,0,0,null,0
6/29/26,6/30/26,Money Management,Money Management Stretch,,0,0,0,0,null,0
3/24/25,3/30/25,Money Management,Faster Payouts,,0,0,0,0,0,0
12/7/26,12/9/26,Money Management,Financial Accounts,,0,0,0,0,null,0
6/8/26,6/10/26,Money Management,Financial Accounts,,0,0,0,0,null,0
4/20/26,4/21/26,Money Management,Financial Accounts,,0,0,0,0,null,0
5/5/25,5/9/25,Money Management,Bridge,,0,0,0,0,0,0
11/23/26,11/28/26,Money Management,Mass Payouts,,0,0,0,0,null,0
9/28/26,10/3/26,Money Management,Bridge,,0,0,0,0,null,0
3/23/26,3/27/26,Money Management,Other BaaS Products,,0,0,0,0,null,0
6/29/26,6/29/26,Money Management,Bridge,,0,0,0,0,null,0
5/18/26,5/18/26,Money Management,Faster Payouts,,0,0,0,0,null,0
8/3/26,8/8/26,Money Management,Mass Payouts,,0,0,0,0,null,0
10/5/26,10/6/26,Money Management,Money Management Stretch,,0,0,0,0,null,0
10/19/26,10/22/26,Money Management,Other BaaS Products,,0,0,0,0,null,0
6/1/26,6/2/26,Money Management,Money Management Stretch,,0,0,0,0,null,0
6/8/26,6/13/26,Money Management,Money Management Stretch,,0,0,0,0,null,0
7/20/26,7/22/26,Money Management,Bridge,,0,0,0,0,null,0
8/31/26,9/2/26,Money Management,Bridge,,0,0,0,0,null,0
7/13/26,7/17/26,Money Management,Financial Accounts,,0,0,0,0,null,0
3/16/26,3/18/26,Money Management,Bridge,,0,0,0,0,null,0
11/16/26,11/16/26,Money Management,Financial Accounts,,0,0,0,0,null,0
5/18/26,5/24/26,Money Management,Financial Accounts,,0,0,0,0,null,0
4/13/26,4/14/26,Money Management,Faster Payouts,,0,0,0,0,null,0
8/24/26,8/25/26,Money Management,Bridge,,0,0,0,0,null,0
6/1/26,6/6/26,Money Management,Money Management Stretch,,0,0,0,0,null,0
4/20/26,4/20/26,Money Management,Money Management Stretch,,0,0,0,0,null,0
10/19/26,10/21/26,Money Management,Faster Payouts,,0,0,0,0,null,0
6/22/26,6/24/26,Money Management,Bridge,,0,0,0,0,null,0
5/18/26,5/19/26,Money Management,Faster Payouts,,0,0,0,0,null,0
6/8/26,6/12/26,Money Management,Other BaaS Products,,0,0,0,0,null,0
6/22/26,6/27/26,Money Management,Money Management Stretch,,0,0,0,0,null,0
12/1/25,12/3/25,Money Management,Bridge,,0,0,0,0,0,0
7/20/26,7/22/26,Money Management,Mass Payouts,,0,0,0,0,null,0
4/13/26,4/19/26,Money Management,Faster Payouts,,0,0,0,0,null,0
6/15/26,6/21/26,Money Management,Faster Payouts,,0,0,0,0,null,0
5/5/25,5/9/25,Money Management,Mass Payouts,,0,0,0,0,0,0
6/29/26,7/4/26,Money Management,Financial Accounts,,0,0,0,0,null,0
6/24/24,6/30/24,Money Management,Mass Payouts,,0,0,0,0,1,null
11/11/24,11/14/24,Money Management,Other BaaS Products,,0,0,0,0,-6636.4,null
1/27/25,1/27/25,Money Management,Financial Accounts,,0,0,0,0,0,0
4/7/25,4/10/25,Money Management,Financial Accounts,,0,0,0,0,-1356614.46,0
6/24/24,6/30/24,Money Management,Other BaaS Products,,0,0,0,0,268701.201,null
4/8/24,4/14/24,Money Management,Other BaaS Products,,0,0,0,0,-3322.84,null
11/13/23,11/14/23,Money Management,Other BaaS Products,,0,0,0,0,-6852.05,null
4/22/24,4/24/24,Money Management,Other BaaS Products,,0,0,0,0,-6644.64,null
8/7/23,8/9/23,Money Management,Other BaaS Products,,0,0,0,0,-7189.1,null
10/20/25,10/24/25,Money Management,Other BaaS Products,,0,0,0,0,-5808.03,0
12/9/24,12/12/24,Money Management,Financial Accounts,,0,0,0,0,-19067.24,null
7/31/23,8/3/23,Money Management,Other BaaS Products,,0,0,0,0,-16108.13,null
11/29/21,12/3/21,Money Management,Other BaaS Products,,0,0,0,0,-26226.03,null
10/13/25,10/13/25,Money Management,Financial Accounts,,0,0,0,0,-5976.126792,0
12/13/21,12/13/21,Money Management,Other BaaS Products,,0,0,0,0,-6462.02,null
4/29/24,5/4/24,Money Management,Financial Accounts,,0,0,0,0,-0.01,null
7/22/24,7/23/24,Money Management,Mass Payouts,,0,0,0,0,110,null
4/7/25,4/12/25,Money Management,Faster Payouts,,0,0,0,0,10503.3601,0
2/9/26,2/11/26,Money Management,Mass Payouts,,0,0,0,0,23247.82045,0
2/2/26,2/3/26,Money Management,Faster Payouts,,0,0,0,0,50660.53927,0
9/2/24,9/4/24,Money Management,Financial Accounts,,0,0,0,0,-0.03,null
7/28/25,8/3/25,Money Management,Faster Payouts,,0,0,0,0,17873.93992,0
11/3/25,11/9/25,Money Management,Faster Payouts,,0,0,0,0,18861.34716,0
8/4/25,8/5/25,Money Management,Faster Payouts,,0,0,0,0,26393.98548,0
2/12/24,2/18/24,Money Management,Other BaaS Products,,0,0,0,0,-2720.23,null
6/26/23,7/1/23,Money Management,Financial Accounts,,0,0,0,0,-389522.37,null
8/26/24,8/31/24,Money Management,Other BaaS Products,,0,0,0,0,261757.7,null
12/29/25,1/3/26,Money Management,Other BaaS Products,,0,0,0,0,-2797.61,0
7/18/22,7/18/22,Money Management,Other BaaS Products,,0,0,0,0,-4103.07,null
4/1/24,4/4/24,Money Management,Other BaaS Products,,0,0,0,0,-6708.62,null
2/7/22,2/8/22,Money Management,Other BaaS Products,,0,0,0,0,-14680.12,null
8/14/23,8/19/23,Money Management,Other BaaS Products,,0,0,0,0,-6069.49,null
3/31/25,4/6/25,Money Management,Other BaaS Products,,0,0,0,0,-3604.26,0
3/3/25,3/3/25,Money Management,Other BaaS Products,,0,0,0,0,-4814.61,0
5/5/25,5/8/25,Money Management,Other BaaS Products,,0,0,0,0,-7448.98,0
5/19/25,5/22/25,Money Management,Mass Payouts,,0,0,0,0,889.8307998,0
6/2/25,6/8/25,Money Management,Faster Payouts,,0,0,0,0,11244.0675,0
3/13/23,3/15/23,Money Management,Financial Accounts,,0,0,0,0,0.5,null
1/26/26,1/26/26,Money Management,Faster Payouts,,0,0,0,0,46482.26897,0
10/24/22,10/28/22,Money Management,Other BaaS Products,,0,0,0,0,-10047.23,null
8/28/23,9/3/23,Money Management,Other BaaS Products,,0,0,0,0,-9592.91,null
6/2/25,6/5/25,Money Management,Other BaaS Products,,0,0,0,0,-3460.5,0
3/23/26,3/28/26,Money Management,Faster Payouts,,0,0,0,0,null,0
11/2/26,11/3/26,Money Management,Faster Payouts,,0,0,0,0,null,0
11/2/26,11/7/26,Money Management,Financial Accounts,,0,0,0,0,null,0
6/1/26,6/7/26,Money Management,Financial Accounts,,0,0,0,0,null,0
9/1/25,9/1/25,Money Management,Bridge,,0,0,0,0,0,0
11/2/26,11/8/26,Money Management,Faster Payouts,,0,0,0,0,null,0
11/16/26,11/16/26,Money Management,Money Management Stretch,,0,0,0,0,null,0
10/12/26,10/15/26,Money Management,Faster Payouts,,0,0,0,0,null,0
5/11/26,5/14/26,Money Management,Bridge,,0,0,0,0,null,0
8/3/26,8/9/26,Money Management,Bridge,,0,0,0,0,null,0
1/12/26,1/15/26,Money Management,Money Management Stretch,,0,0,0,0,0,0
8/17/26,8/23/26,Money Management,Financial Accounts,,0,0,0,0,null,0
6/29/26,6/29/26,Money Management,Other BaaS Products,,0,0,0,0,null,0
9/7/26,9/8/26,Money Management,Financial Accounts,,0,0,0,0,null,0
5/11/26,5/12/26,Money Management,Mass Payouts,,0,0,0,0,null,0
10/26/26,10/26/26,Money Management,Financial Accounts,,0,0,0,0,null,0
8/17/26,8/18/26,Money Management,Mass Payouts,,0,0,0,0,null,0
8/24/26,8/29/26,Money Management,Bridge,,0,0,0,0,null,0
4/13/26,4/16/26,Money Management,Financial Accounts,,0,0,0,0,null,0
8/31/26,9/6/26,Money Management,Money Management Stretch,,0,0,0,0,null,0
8/17/26,8/17/26,Money Management,Other BaaS Products,,0,0,0,0,null,0
7/27/26,7/31/26,Money Management,Bridge,,0,0,0,0,null,7823000
11/9/26,11/11/26,Money Management,Financial Accounts,,0,0,0,0,null,0
3/31/25,4/5/25,Money Management,Faster Payouts,,0,0,0,0,0,0
3/10/25,3/16/25,Money Management,Financial Accounts,,0,0,0,0,0,0
11/16/26,11/21/26,Money Management,Money Management Stretch,,0,0,0,0,null,0
12/7/26,12/8/26,Money Management,Money Management Stretch,,0,0,0,0,null,0
1/5/26,1/8/26,Money Management,Financial Accounts,,0,0,0,0,2089688.838,0
10/7/24,10/7/24,Money Management,Financial Accounts,,0,0,0,0,-499765.31,null
4/24/23,4/24/23,Money Management,Other BaaS Products,,0,0,0,0,-4666.29,null
5/22/23,5/28/23,Money Management,Other BaaS Products,,0,0,0,0,-3760.66,null
3/9/26,3/13/26,Money Management,Mass Payouts,,0,0,0,0,18527.88931,0
4/14/25,4/14/25,Money Management,Other BaaS Products,,0,0,0,0,-2970.14,0
10/6/25,10/6/25,Money Management,Mass Payouts,,0,0,0,0,2495.358768,0
8/26/24,9/1/24,Money Management,Financial Accounts,,0,0,0,0,-672432.66,null
6/5/23,6/9/23,Money Management,Other BaaS Products,,0,0,0,0,-6442,null
7/18/22,7/21/22,Money Management,Other BaaS Products,,0,0,0,0,-9076.24,null
7/24/23,7/26/23,Money Management,Other BaaS Products,,0,0,0,0,-8200.51,null
1/22/24,1/26/24,Money Management,Other BaaS Products,,0,0,0,0,-5764.3,null
11/27/23,12/3/23,Money Management,Other BaaS Products,,0,0,0,0,-13613.81,null
1/19/26,1/23/26,Money Management,Faster Payouts,,0,0,0,0,60852.05875,0
7/22/24,7/28/24,Money Management,Other BaaS Products,,0,0,0,0,-3475.31,null
2/6/23,2/6/23,Money Management,Financial Accounts,,0,0,0,0,-156308.06,null
9/30/24,10/6/24,Money Management,Other BaaS Products,,0,0,0,0,-2698.56,null
11/1/21,11/2/21,Money Management,Other BaaS Products,,0,0,0,0,-18385.07,null
7/26/21,7/30/21,Money Management,Other BaaS Products,,0,0,0,0,-8077.8,null
2/14/22,2/20/22,Money Management,Other BaaS Products,,0,0,0,0,-6640.32,null
3/28/22,4/2/22,Money Management,Other BaaS Products,,0,0,0,0,-19872.91,null
8/4/25,8/10/25,Money Management,Faster Payouts,,0,0,0,0,11912.50227,0
12/1/25,12/1/25,Money Management,Financial Accounts,,0,0,0,0,-13027.73,0
2/2/26,2/2/26,Money Management,Faster Payouts,,0,0,0,0,54231.84853,0
6/9/25,6/12/25,Money Management,Mass Payouts,,0,0,0,0,1330.191344,0
9/19/22,9/21/22,Money Management,Other BaaS Products,,0,0,0,0,-8899.67,null
7/1/24,7/1/24,Money Management,Other BaaS Products,,0,0,0,0,-12147.83,null
11/15/21,11/17/21,Money Management,Other BaaS Products,,0,0,0,0,-9829.42,null
8/2/21,8/5/21,Money Management,Other BaaS Products,,0,0,0,0,-11180.51,null
4/1/24,4/3/24,Money Management,Financial Accounts,,0,0,0,0,0,null
6/28/21,7/4/21,Money Management,Other BaaS Products,,0,0,0,0,14565.37,null
7/3/23,7/6/23,Money Management,Financial Accounts,,0,0,0,0,-304822.99,null
3/16/26,3/21/26,Money Management,Faster Payouts,,0,0,0,0,null,0
10/30/23,11/3/23,Money Management,Other BaaS Products,,0,0,0,0,-11297.17,null
12/12/22,12/18/22,Money Management,Other BaaS Products,,0,0,0,0,-5712.94,null
8/25/25,8/29/25,Money Management,Mass Payouts,,0,0,0,0,4159.455195,0
2/3/25,2/8/25,Money Management,Financial Accounts,,0,0,0,0,-304880.72,0
9/15/25,9/16/25,Money Management,Bridge,,0,0,0,0,0,0
6/26/23,6/29/23,Money Management,Other BaaS Products,,0,0,0,0,-5869.63,null
11/25/24,11/26/24,Money Management,Other BaaS Products,,0,0,0,0,-4728.95,null
6/28/21,6/30/21,Money Management,Financial Accounts,,0,0,0,0,117287.09,null
7/28/25,8/1/25,Money Management,Faster Payouts,,0,0,0,0,62096.0813,0
5/31/21,5/31/21,Money Management,Other BaaS Products,,0,0,0,0,253126.4325,null
10/20/25,10/26/25,Money Management,Faster Payouts,,0,0,0,0,17467.29208,0
8/18/25,8/22/25,Money Management,Mass Payouts,,0,0,0,0,4106.148173,0
8/7/23,8/7/23,Money Management,Other BaaS Products,,0,0,0,0,-5383.4,null
6/9/25,6/14/25,Money Management,Financial Accounts,,0,0,0,0,-5665.550066,0
9/22/25,9/26/25,Money Management,Other BaaS Products,,0,0,0,0,-3169.33,0
2/7/22,2/7/22,Money Management,Financial Accounts,,0,0,0,0,29053.25,null
4/11/22,4/16/22,Money Management,Other BaaS Products,,0,0,0,0,-12378.89,null
10/27/25,10/28/25,Money Management,Mass Payouts,,0,0,0,0,2271.794144,0
3/27/23,4/2/23,Money Management,Other BaaS Products,,0,0,0,0,-10463.62,null
10/23/23,10/26/23,Money Management,Other BaaS Products,,0,0,0,0,-6274.67,null
1/19/26,1/19/26,Money Management,Mass Payouts,,0,0,0,0,13115.21972,0
10/13/25,10/17/25,Money Management,Other BaaS Products,,0,0,0,0,-2955.73,0
12/22/25,12/26/25,Money Management,Faster Payouts,,0,0,0,0,61013.62837,0
7/21/25,7/26/25,Money Management,Financial Accounts,,0,0,0,0,-4825.867448,0
7/24/23,7/30/23,Money Management,Other BaaS Products,,0,0,0,0,-3891.14,null
1/8/24,1/13/24,Money Management,Financial Accounts,,0,0,0,0,0,null
2/16/26,2/19/26,Money Management,Bridge,,0,0,0,0,0,0
9/15/25,9/18/25,Money Management,Bridge,,0,0,0,0,0,0
6/29/26,7/1/26,Money Management,Mass Payouts,,0,0,0,0,null,0
3/2/26,3/2/26,Money Management,Money Management Stretch,,0,0,0,0,0,0
12/14/26,12/14/26,Money Management,Bridge,,0,0,0,0,null,0
6/29/26,7/4/26,Money Management,Money Management Stretch,,0,0,0,0,null,0
5/11/26,5/15/26,Money Management,Mass Payouts,,0,0,0,0,null,0
12/21/26,12/21/26,Money Management,Money Management Stretch,,0,0,0,0,null,0
6/8/26,6/10/26,Money Management,Money Management Stretch,,0,0,0,0,null,0
5/4/26,5/9/26,Money Management,Other BaaS Products,,0,0,0,0,null,0
6/29/26,7/5/26,Money Management,Bridge,,0,0,0,0,null,0
8/3/26,8/9/26,Money Management,Money Management Stretch,,0,0,0,0,null,0
4/20/26,4/21/26,Money Management,Mass Payouts,,0,0,0,0,null,0
11/2/26,11/4/26,Money Management,Mass Payouts,,0,0,0,0,null,0
5/18/26,5/18/26,Money Management,Other BaaS Products,,0,0,0,0,null,0
7/13/26,7/14/26,Money Management,Other BaaS Products,,0,0,0,0,null,0
11/16/26,11/22/26,Money Management,Money Management Stretch,,0,0,0,0,null,0
8/4/25,8/8/25,Money Management,Bridge,,0,0,0,0,0,0
3/10/25,3/12/25,Money Management,Bridge,,0,0,0,0,0,0
9/21/26,9/22/26,Money Management,Money Management Stretch,,0,0,0,0,null,0
4/20/26,4/20/26,Money Management,Financial Accounts,,0,0,0,0,null,0
4/20/26,4/22/26,Money Management,Faster Payouts,,0,0,0,0,null,0
2/17/25,2/18/25,Money Management,Bridge,,0,0,0,0,0,0
9/29/25,10/2/25,Money Management,Bridge,,0,0,0,0,0,0
8/10/26,8/10/26,Money Management,Financial Accounts,,0,0,0,0,null,0
5/27/24,5/31/24,Money Management,Other BaaS Products,,0,0,0,0,291504.54,null
2/24/25,2/28/25,Money Management,Financial Accounts,,0,0,0,0,2583278.91,833247.75
3/10/25,3/11/25,Money Management,Other BaaS Products,,0,0,0,0,-5506.6,0
2/24/25,2/26/25,Money Management,Other BaaS Products,,0,0,0,0,-4679.71,0
8/18/25,8/23/25,Money Management,Other BaaS Products,,0,0,0,0,-2099.16,0
6/17/24,6/19/24,Money Management,Mass Payouts,,0,0,0,0,3,null
3/6/23,3/11/23,Money Management,Other BaaS Products,,0,0,0,0,-9495.19,null
7/15/24,7/17/24,Money Management,Mass Payouts,,0,0,0,0,53,null
11/10/25,11/13/25,Money Management,Financial Accounts,,0,0,0,0,-1498756.064,0
8/9/21,8/12/21,Money Management,Other BaaS Products,,0,0,0,0,-9553.35,null
9/25/23,9/25/23,Money Management,Other BaaS Products,,0,0,0,0,-6992.4,null
7/17/23,7/22/23,Money Management,Other BaaS Products,,0,0,0,0,-4953.89,null
12/8/25,12/9/25,Money Management,Other BaaS Products,,0,0,0,0,-4033.19,0
6/24/24,6/24/24,Money Management,Mass Payouts,,0,0,0,0,26,null
7/22/24,7/24/24,Money Management,Financial Accounts,,0,0,0,0,0.75,null
9/1/25,9/5/25,Money Management,Financial Accounts,,0,0,0,0,-35917.38712,0
6/19/23,6/23/23,Money Management,Other BaaS Products,,0,0,0,0,-8558.1,null
4/7/25,4/8/25,Money Management,Faster Payouts,,0,0,0,0,116.0265462,0
8/12/24,8/18/24,Money Management,Other BaaS Products,,0,0,0,0,-3995.93,null
9/1/25,9/7/25,Money Management,Bridge,,0,0,0,0,92174.54,0
7/11/22,7/14/22,Money Management,Other BaaS Products,,0,0,0,0,-9392.3,null
7/8/24,7/11/24,Money Management,Other BaaS Products,,0,0,0,0,-6873.02,null
11/17/25,11/18/25,Money Management,Faster Payouts,,0,0,0,0,27820.34708,0
11/1/21,11/7/21,Money Management,Other BaaS Products,,0,0,0,0,-7221.64,null
9/9/24,9/10/24,Money Management,Other BaaS Products,,0,0,0,0,-7153.08,null
8/7/23,8/10/23,Money Management,Other BaaS Products,,0,0,0,0,-7200.98,null
5/6/24,5/11/24,Money Management,Other BaaS Products,,0,0,0,0,-5105.4,null
6/10/24,6/10/24,Money Management,Mass Payouts,,0,0,0,0,17.25,null
12/16/24,12/17/24,Money Management,Other BaaS Products,,0,0,0,0,-4861.84,null
11/4/24,11/8/24,Money Management,Mass Payouts,,0,0,0,0,1103.25,null
4/24/23,4/26/23,Money Management,Other BaaS Products,,0,0,0,0,-7711.56,null
3/24/25,3/30/25,Money Management,Mass Payouts,,0,0,0,0,1.320799824,0
1/19/26,1/21/26,Money Management,Financial Accounts,,0,0,0,0,-29015.73963,0
5/30/22,6/3/22,Money Management,Other BaaS Products,,0,0,0,0,-22243.8,null
2/6/23,2/9/23,Money Management,Other BaaS Products,,0,0,0,0,-8159.12,null
2/23/26,2/27/26,Money Management,Mass Payouts,,0,0,0,0,19336.66042,0
9/8/25,9/14/25,Money Management,Mass Payouts,,0,0,0,0,396.0223576,0
6/30/25,7/4/25,Money Management,Other BaaS Products,,0,0,0,0,-3524.6,0
10/13/25,10/18/25,Money Management,Faster Payouts,,0,0,0,0,21480.07777,0
11/18/24,11/24/24,Money Management,Other BaaS Products,,0,0,0,0,-2642.54,null
7/11/22,7/15/22,Money Management,Other BaaS Products,,0,0,0,0,-7695.03,null
7/21/25,7/25/25,Money Management,Other BaaS Products,,0,0,0,0,-3994.94,0
10/26/20,10/31/20,Money Management,Other BaaS Products,,0,0,0,0,54439.48562,null
10/6/25,10/7/25,Money Management,Mass Payouts,,0,0,0,0,1881.013343,0
12/29/25,12/30/25,Money Management,Financial Accounts,,0,0,0,0,-5029.500836,0
8/21/23,8/23/23,Money Management,Other BaaS Products,,0,0,0,0,-8170.52,null
7/28/25,7/28/25,Money Management,Financial Accounts,,0,0,0,0,165876.9816,0
10/14/24,10/16/24,Money Management,Mass Payouts,,0,0,0,0,65.5,null
1/22/24,1/28/24,Money Management,Other BaaS Products,,0,0,0,0,-6791.29,null
7/14/25,7/16/25,Money Management,Other BaaS Products,,0,0,0,0,-5536.77,0
11/17/25,11/23/25,Money Management,Mass Payouts,,0,0,0,0,1067.688394,0
3/18/24,3/18/24,Money Management,Other BaaS Products,,0,0,0,0,-5403.01,null
6/16/25,6/21/25,Money Management,Other BaaS Products,,0,0,0,0,-3141.07,0
8/29/22,9/3/22,Money Management,Other BaaS Products,,0,0,0,0,-27091.11,null
2/23/26,2/25/26,Money Management,Faster Payouts,,0,0,0,0,49836.41956,0
8/14/23,8/15/23,Money Management,Other BaaS Products,,0,0,0,0,-7756.99,null
6/16/25,6/22/25,Money Management,Financial Accounts,,0,0,0,0,-5561.85,0
12/9/24,12/11/24,Money Management,Financial Accounts,,0,0,0,0,-280401.65,null
8/9/21,8/11/21,Money Management,Financial Accounts,,0,0,0,0,-6707.76,null
2/6/23,2/11/23,Money Management,Other BaaS Products,,0,0,0,0,-9814.45,null
12/15/25,12/19/25,Money Management,Mass Payouts,,0,0,0,0,9580.639114,0
12/29/25,12/31/25,Money Management,Faster Payouts,,0,0,0,0,611711.4506,1722187.403
7/1/24,7/4/24,Money Management,Other BaaS Products,,0,0,0,0,-7347.27,null
5/12/25,5/15/25,Money Management,Other BaaS Products,,0,0,0,0,-6770.32,0
12/15/25,12/15/25,Money Management,Faster Payouts,,0,0,0,0,43220.44307,0
4/22/24,4/22/24,Money Management,Other BaaS Products,,0,0,0,0,-688879.86,null
12/16/24,12/16/24,Money Management,Financial Accounts,,0,0,0,0,0,null
7/14/25,7/16/25,Money Management,Mass Payouts,,0,0,0,0,2191.433888,0
7/15/24,7/16/24,Money Management,Mass Payouts,,0,0,0,0,33,null
1/5/26,1/8/26,Money Management,Bridge,,0,0,0,0,-165000,0
11/20/23,11/22/23,Money Management,Financial Accounts,,0,0,0,0,-59367.62,null
6/24/24,6/27/24,Money Management,Other BaaS Products,,0,0,0,0,-8147.07,null
1/12/26,1/12/26,Money Management,Faster Payouts,,0,0,0,0,49401.45597,0
2/13/23,2/19/23,Money Management,Other BaaS Products,,0,0,0,0,-4523.44,null
3/7/22,3/8/22,Money Management,Other BaaS Products,,0,0,0,0,-9236.29,null
1/12/26,1/16/26,Money Management,Faster Payouts,,0,0,0,0,68507.19143,0
9/4/23,9/5/23,Money Management,Other BaaS Products,,0,0,0,0,-6368.99,null
9/18/23,9/21/23,Money Management,Other BaaS Products,,0,0,0,0,-6370.59,null
9/22/25,9/28/25,Money Management,Other BaaS Products,,0,0,0,0,-1963.99,0
6/12/23,6/16/23,Money Management,Other BaaS Products,,0,0,0,0,-5773.76,null
1/27/25,1/31/25,Money Management,Financial Accounts,,0,0,0,0,2797215.79,760708.35
8/1/22,8/4/22,Money Management,Other BaaS Products,,0,0,0,0,-16497.3,null
4/25/22,5/1/22,Money Management,Other BaaS Products,,0,0,0,0,-8543.54,null
3/4/24,3/8/24,Money Management,Financial Accounts,,0,0,0,0,0,null
8/24/26,8/25/26,Money Management,Money Management Stretch,,0,0,0,0,null,0
7/6/26,7/10/26,Money Management,Money Management Stretch,,0,0,0,0,null,0
3/10/25,3/13/25,Money Management,Faster Payouts,,0,0,0,0,0,0
7/13/26,7/15/26,Money Management,Bridge,,0,0,0,0,null,0
11/2/26,11/5/26,Money Management,Money Management Stretch,,0,0,0,0,null,0
12/14/26,12/19/26,Money Management,Mass Payouts,,0,0,0,0,null,0
7/27/26,7/27/26,Money Management,Mass Payouts,,0,0,0,0,null,0
2/9/26,2/10/26,Money Management,Money Management Stretch,,0,0,0,0,0,0
8/31/26,9/4/26,Money Management,Financial Accounts,,0,0,0,0,null,0
5/5/25,5/6/25,Money Management,Bridge,,0,0,0,0,0,0
4/28/25,4/28/25,Money Management,Mass Payouts,,0,0,0,0,0,0
8/31/26,9/5/26,Money Management,Money Management Stretch,,0,0,0,0,null,0
2/23/26,3/1/26,Money Management,Bridge,,0,0,0,0,0,0
5/18/26,5/24/26,Money Management,Bridge,,0,0,0,0,null,0
6/8/26,6/11/26,Money Management,Financial Accounts,,0,0,0,0,null,0
11/16/26,11/21/26,Money Management,Mass Payouts,,0,0,0,0,null,0
5/18/26,5/22/26,Money Management,Faster Payouts,,0,0,0,0,null,0
6/15/26,6/21/26,Money Management,Mass Payouts,,0,0,0,0,null,0
5/18/26,5/18/26,Money Management,Bridge,,0,0,0,0,null,0
9/28/26,9/30/26,Money Management,Bridge,,0,0,0,0,null,8526000
4/27/26,4/29/26,Money Management,Money Management Stretch,,0,0,0,0,null,0
3/24/25,3/27/25,Money Management,Bridge,,0,0,0,0,0,0
9/7/26,9/10/26,Money Management,Mass Payouts,,0,0,0,0,null,0
7/13/26,7/18/26,Money Management,Other BaaS Products,,0,0,0,0,null,0
7/6/26,7/9/26,Money Management,Financial Accounts,,0,0,0,0,null,0
10/19/26,10/20/26,Money Management,Mass Payouts,,0,0,0,0,null,0
5/11/26,5/15/26,Money Management,Bridge,,0,0,0,0,null,0
9/28/26,10/3/26,Money Management,Money Management Stretch,,0,0,0,0,null,0
11/30/26,12/5/26,Money Management,Other BaaS Products,,0,0,0,0,null,0
6/29/26,7/2/26,Money Management,Money Management Stretch,,0,0,0,0,null,0
1/20/25,1/21/25,Money Management,Faster Payouts,,0,0,0,0,0,0
10/19/26,10/23/26,Money Management,Faster Payouts,,0,0,0,0,null,0
8/24/26,8/24/26,Money Management,Mass Payouts,,0,0,0,0,null,0
8/24/26,8/25/26,Money Management,Other BaaS Products,,0,0,0,0,null,0
7/27/26,8/1/26,Money Management,Bridge,,0,0,0,0,null,0
6/22/26,6/23/26,Money Management,Other BaaS Products,,0,0,0,0,null,0
12/1/25,12/2/25,Money Management,Bridge,,0,0,0,0,0,0
12/21/26,12/21/26,Money Management,Faster Payouts,,0,0,0,0,null,0
2/24/25,2/26/25,Money Management,Bridge,,0,0,0,0,0,0
10/12/26,10/16/26,Money Management,Other BaaS Products,,0,0,0,0,null,0
11/23/26,11/24/26,Money Management,Faster Payouts,,0,0,0,0,null,0
9/14/26,9/17/26,Money Management,Financial Accounts,,0,0,0,0,null,0
1/26/26,1/29/26,Money Management,Money Management Stretch,,0,0,0,0,0,0
7/13/26,7/16/26,Money Management,Financial Accounts,,0,0,0,0,null,0
2/9/26,2/11/26,Money Management,Bridge,,0,0,0,0,0,0
2/3/25,2/9/25,Money Management,Faster Payouts,,0,0,0,0,0,0
10/5/26,10/8/26,Money Management,Money Management Stretch,,0,0,0,0,null,0
6/1/26,6/6/26,Money Management,Financial Accounts,,0,0,0,0,null,0
8/3/26,8/9/26,Money Management,Mass Payouts,,0,0,0,0,null,0
7/20/26,7/21/26,Money Management,Bridge,,0,0,0,0,null,0
9/7/26,9/11/26,Money Management,Bridge,,0,0,0,0,null,0
9/14/26,9/14/26,Money Management,Mass Payouts,,0,0,0,0,null,0
7/27/26,8/1/26,Money Management,Money Management Stretch,,0,0,0,0,null,0
9/28/26,10/4/26,Money Management,Financial Accounts,,0,0,0,0,null,0
4/6/26,4/7/26,Money Management,Mass Payouts,,0,0,0,0,null,0
1/19/26,1/20/26,Money Management,Bridge,,0,0,0,0,0,0
6/15/26,6/20/26,Money Management,Money Management Stretch,,0,0,0,0,null,0
